2025-12-10 20:18:48 | YEŞİL | VLD_TFPR_011 | V=0 | KM=1,379 | Tekrar=1 | Tren=0 | Hız=0,0
2025-12-10 20:30:03 | YEŞİL | VLD_TFPR_004 | V=0 | KM=10,386 | Tekrar=1 | Tren=0 | Hız=0,0
2025-12-10 20:38:21 | YEŞİL | VLD_TFPR_010 | V=1.312 | KM=3,299 | Tekrar=1 | Tren=0 | Hız=0,0
2025-12-10 20:49:14 | YEŞİL | VLD_TFPR_005 | V=1.725 | KM=9,070 | Tekrar=1 | Tren=0 | Hız=0,0
2025-12-10 21:06:04 | NORMAL | VLD_TFPR_003 | V=1.530 | KM=12,081 | Tekrar=1 | Tren=0 | Hız=0,0
2025-12-10 21:06:04 | NORMAL | VLD_TFPR_010 | V=1.486 | KM=3,299 | Tekrar=1 | Tren=0 | Hız=0,0
2025-12-10 21:06:04 | NORMAL | VLD_TFPR_011 | V=1.480 | KM=1,379 | Tekrar=1 | Tren=0 | Hız=0,0
2025-12-10 21:06:05 | NORMAL | VLD_TFPR_002 | V=1.519 | KM=13,873 | Tekrar=1 | Tren=0 | Hız=0,0
2025-12-10 21:06:06 | NORMAL | VLD_TFPR_006 | V=1.513 | KM=8,234 | Tekrar=1 | Tren=0 | Hız=0,0
2025-12-10 21:06:06 | NORMAL | VLD_TFPR_009 | V=1.475 | KM=4,389 | Tekrar=1 | Tren=0 | Hız=0,0
2025-12-10 21:06:06 | NORMAL | VLD_TFPR_011 | V=1.476 | KM=1,379 | Tekrar=2 | Tren=0 | Hız=0,0
2025-12-10 21:06:07 | NORMAL | VLD_TFPR_004 | V=1.518 | KM=10,386 | Tekrar=1 | Tren=0 | Hız=0,0
2025-12-10 21:06:07 | NORMAL | VLD_TFPR_012 | V=1.486 | KM=0,136 | Tekrar=1 | Tren=0 | Hız=0,0
2025-12-10 21:06:09 | NORMAL | VLD_TFPR_005 | V=1.512 | KM=9,070 | Tekrar=1 | Tren=0 | Hız=0,0
2025-12-10 21:06:09 | NORMAL | VLD_TFPR_009 | V=1.477 | KM=4,389 | Tekrar=2 | Tren=0 | Hız=0,0
2025-12-10 21:06:09 | NORMAL | VLD_TFPR_010 | V=1.474 | KM=3,299 | Tekrar=2 | Tren=0 | Hız=0,0
2025-12-10 21:06:09 | NORMAL | VLD_TFPR_012 | V=1.487 | KM=0,136 | Tekrar=2 | Tren=0 | Hız=0,0
2025-12-10 21:06:11 | NORMAL | VLD_TFPR_004 | V=1.513 | KM=10,386 | Tekrar=2 | Tren=0 | Hız=0,0
2025-12-10 21:06:11 | NORMAL | VLD_TFPR_007 | V=1.481 | KM=7,102 | Tekrar=1 | Tren=0 | Hız=0,0
2025-12-10 21:06:11 | NORMAL | VLD_TFPR_009 | V=1.476 | KM=4,389 | Tekrar=3 | Tren=0 | Hız=0,0
2025-12-10 21:06:11 | NORMAL | VLD_TFPR_010 | V=1.474 | KM=3,299 | Tekrar=3 | Tren=0 | Hız=0,0
2025-12-10 21:06:12 | NORMAL | VLD_TFPR_002 | V=1.515 | KM=13,873 | Tekrar=2 | Tren=0 | Hız=0,0
2025-12-10 21:06:12 | NORMAL | VLD_TFPR_003 | V=1.515 | KM=12,081 | Tekrar=2 | Tren=0 | Hız=0,0
2025-12-10 21:06:12 | NORMAL | VLD_TFPR_011 | V=1.481 | KM=1,379 | Tekrar=3 | Tren=0 | Hız=0,0
2025-12-10 21:06:14 | NORMAL | VLD_TFPR_003 | V=1.522 | KM=12,081 | Tekrar=3 | Tren=0 | Hız=0,0
2025-12-10 21:06:14 | NORMAL | VLD_TFPR_005 | V=1.519 | KM=9,070 | Tekrar=2 | Tren=0 | Hız=0,0
2025-12-10 21:06:14 | NORMAL | VLD_TFPR_008 | V=1.484 | KM=5,781 | Tekrar=1 | Tren=0 | Hız=0,0
2025-12-10 21:06:14 | NORMAL | VLD_TFPR_010 | V=1.489 | KM=3,299 | Tekrar=4 | Tren=0 | Hız=0,0
2025-12-10 21:06:15 | YEŞİL | VLD_TFPR_002 | V=1.651 | KM=13,873 | Tekrar=3 | Tren=0 | Hız=0,0
2025-12-10 21:06:16 | NORMAL | VLD_TFPR_001 | V=1.519 | KM=15,391 | Tekrar=1 | Tren=0 | Hız=0,0
2025-12-10 21:06:17 | NORMAL | VLD_TFPR_003 | V=1.526 | KM=12,081 | Tekrar=4 | Tren=0 | Hız=0,0
2025-12-10 21:06:18 | NORMAL | VLD_TFPR_002 | V=1.526 | KM=13,873 | Tekrar=4 | Tren=0 | Hız=0,0
2025-12-10 21:06:19 | YEŞİL | VLD_TFPR_001 | V=1.702 | KM=15,391 | Tekrar=2 | Tren=0 | Hız=0,0
2025-12-10 21:06:20 | NORMAL | VLD_TFPR_004 | V=1.516 | KM=10,386 | Tekrar=3 | Tren=0 | Hız=0,0
2025-12-10 21:06:20 | NORMAL | VLD_TFPR_005 | V=1.514 | KM=9,070 | Tekrar=3 | Tren=0 | Hız=0,0
2025-12-10 21:06:23 | NORMAL | VLD_TFPR_002 | V=1.514 | KM=13,873 | Tekrar=5 | Tren=0 | Hız=0,0
2025-12-10 21:06:23 | NORMAL | VLD_TFPR_004 | V=1.515 | KM=10,386 | Tekrar=4 | Tren=0 | Hız=0,0
2025-12-10 21:06:23 | NORMAL | VLD_TFPR_005 | V=1.519 | KM=9,070 | Tekrar=4 | Tren=0 | Hız=0,0
2025-12-10 21:06:25 | NORMAL | VLD_TFPR_003 | V=1.510 | KM=12,081 | Tekrar=5 | Tren=0 | Hız=0,0
2025-12-10 21:06:25 | NORMAL | VLD_TFPR_004 | V=1.517 | KM=10,386 | Tekrar=5 | Tren=0 | Hız=0,0
2025-12-10 21:06:27 | NORMAL | VLD_TFPR_002 | V=1.527 | KM=13,873 | Tekrar=6 | Tren=0 | Hız=0,0
2025-12-10 21:06:27 | YEŞİL | VLD_TFPR_003 | V=1.293 | KM=12,081 | Tekrar=6 | Tren=0 | Hız=0,0
2025-12-10 21:06:27 | NORMAL | VLD_TFPR_011 | V=1.478 | KM=1,379 | Tekrar=4 | Tren=0 | Hız=0,0
2025-12-10 21:06:28 | YEŞİL | VLD_TFPR_004 | V=1.295 | KM=10,386 | Tekrar=6 | Tren=0 | Hız=0,0
2025-12-10 21:06:28 | NORMAL | VLD_TFPR_007 | V=1.485 | KM=7,102 | Tekrar=2 | Tren=0 | Hız=0,0
2025-12-10 21:06:30 | YEŞİL | VLD_TFPR_011 | V=1.286 | KM=1,379 | Tekrar=5 | Tren=0 | Hız=0,0
2025-12-10 21:06:33 | NORMAL | VLD_TFPR_003 | V=1.511 | KM=12,081 | Tekrar=7 | Tren=0 | Hız=0,0
2025-12-10 21:06:33 | NORMAL | VLD_TFPR_008 | V=1.485 | KM=5,781 | Tekrar=2 | Tren=0 | Hız=0,0
2025-12-10 21:06:33 | NORMAL | VLD_TFPR_009 | V=1.480 | KM=4,389 | Tekrar=4 | Tren=0 | Hız=0,0
2025-12-10 21:06:34 | YEŞİL | VLD_TFPR_007 | V=0 | KM=7,102 | Tekrar=3 | Tren=0 | Hız=0,0
2025-12-10 21:06:35 | NORMAL | VLD_TFPR_002 | V=1.526 | KM=13,873 | Tekrar=7 | Tren=0 | Hız=0,0
2025-12-10 21:06:35 | NORMAL | VLD_TFPR_003 | V=1.525 | KM=12,081 | Tekrar=8 | Tren=0 | Hız=0,0
2025-12-10 21:06:35 | NORMAL | VLD_TFPR_004 | V=1.517 | KM=10,386 | Tekrar=7 | Tren=0 | Hız=0,0
2025-12-10 21:06:35 | NORMAL | VLD_TFPR_009 | V=1.484 | KM=4,389 | Tekrar=5 | Tren=0 | Hız=0,0
2025-12-10 21:06:35 | NORMAL | VLD_TFPR_010 | V=1.475 | KM=3,299 | Tekrar=5 | Tren=0 | Hız=0,0
2025-12-10 21:06:37 | NORMAL | VLD_TFPR_001 | V=1.514 | KM=15,391 | Tekrar=3 | Tren=0 | Hız=0,0
